Name,Type,Mass_kg,Radius_m,SemiMajorAxis_m,OrbitalPeriod_days,OrbitalPeriod_s,Star,DiscoveryYear
Sun,Star,1.9885e+30,6.9570e+08,0,0,0,N/A,N/A
Mercury,Planet,3.3011e+23,2.4397e+06,5.7909e+10,87.9691,7.6005264e+06,Sun,N/A
Venus,Planet,4.8675e+24,6.0518e+06,1.08209e+11,224.701,1.9414e+07,Sun,N/A
Earth,Planet,5.97237e+24,6.3710e+06,1.4959787e+11,365.256,3.15576e+07,Sun,N/A
Mars,Planet,6.4171e+23,3.3895e+06,2.2794e+11,686.971,5.94e+07,Sun,N/A
Jupiter,Planet,1.8982e+27,6.9911e+07,7.7857e+11,4332.59,3.74e+08,Sun,N/A
Saturn,Planet,5.6834e+26,5.8232e+07,1.43353e+12,10759.22,9.29e+08,Sun,N/A
Uranus,Planet,8.6810e+25,2.5362e+07,2.87246e+12,30688.5,2.65e+09,Sun,1781
Neptune,Planet,1.02413e+26,2.4622e+07,4.4951e+12,60182,5.2e+09,Sun,1846
Pluto,Dwarf Planet,1.303e+22,1.1883e+06,5.9064e+12,90560,7.826e+09,Sun,1930
Moon,Natural Satellite,7.3477e+22,1.7374e+06,3.844e+08,27.3217,2.36e+06,Earth,N/A
